把你的 300 張封面圖片放在這個 covers 資料夾裡
命名規則如下：

書號              檔名                   書名
GREEN14         GREEN14.png           想要有一雙鞋
GREEN15         GREEN15.png           滑滑梯
GREEN16         GREEN16.png           當一把傘
GREEN17         GREEN17.png           幫忙
GREEN18         GREEN18.png           騎車
GREEN19         GREEN19.png           放風箏
GREEN20         GREEN20.png           寫兒歌
GREEN21         GREEN21.png           樹熊
GREEN22         GREEN22.png           兩隻豬
GREEN23         GREEN23.png           螢火蟲
GREEN24         GREEN24.png           烏鴉
GREEN25         GREEN25.png           老鼠和貓兒
GREEN26         GREEN26.png           小鴨找媽媽
GREEN27         GREEN27.png           小豬不笨
GREEN28         GREEN28.png           動物的叫聲
GREEN29         GREEN29.png           北極熊
GREEN30         GREEN30.png           黑熊媽媽說話
GREEN31         GREEN31.png           動物幫手
GREEN32         GREEN32.png           蜘蛛
GREEN33         GREEN33.png           海獺
GREEN34         GREEN34.png           狗兒一家
GREEN35         GREEN35.png           小藍企鵝
GREEN36         GREEN36.png           小動物
GREEN37         GREEN37.png           瓢蟲
GREEN38         GREEN38.png           松鼠
GREEN39         GREEN39.png           綿羊
GREEN40         GREEN40.png           動物玩偶
GREEN41         GREEN41.png           動物會保護自己
GREEN42         GREEN42.png           螃蟹
GREEN43         GREEN43.png           刺蝟
GREEN44         GREEN44.png           小河馬和大烏龜
GREEN45         GREEN45.png           松鼠玩偶
GREEN46         GREEN46.png           噴水的龍
GREEN47         GREEN47.png           蓋房子
GREEN48         GREEN48.png           奶奶
GREEN49         GREEN49.png           爸爸沒回家
GREEN50         GREEN50.png           會飛的房子
GREEN51         GREEN51.png           媽媽愛誰多一點
GREEN52         GREEN52.png           狗狗和我
GREEN53         GREEN53.png           家人聽對了嗎
GREEN54         GREEN54.png           海盜弟弟
GREEN55         GREEN55.png           家裏有聲音
GREEN56         GREEN56.png           媽媽出差
GREEN57         GREEN57.png           花園房子
GREEN58         GREEN58.png           把弟弟送給你
GREEN59         GREEN59.png           我不貪心
GREEN60         GREEN60.png           我的好朋友
GREEN61         GREEN61.png           家裏的好人和壞人
GREEN62         GREEN62.png           妹妹
GREEN63         GREEN63.png           媽媽像什麼
GREEN64         GREEN64.png           我討厭的事
GREEN65         GREEN65.png           冬眠的弟弟
GREEN66         GREEN66.png           尾巴
GREEN67         GREEN67.png           角、鬍鬚和尾巴
GREEN68         GREEN68.png           腿斷了
GREEN69         GREEN69.png           熊貓的毛
GREEN70         GREEN70.png           大熊的背
GREEN71         GREEN71.png           羽毛
GREEN72         GREEN72.png           牙齒
GREEN73         GREEN73.png           頭上的大包
GREEN74         GREEN74.png           腳受傷了
GREEN75         GREEN75.png           熊熊生病了
GREEN76         GREEN76.png           生病的公雞
GREEN77         GREEN77.png           長毛巴
GREEN78         GREEN78.png           薯片 Chips
GREEN79         GREEN79.png           水果
GREEN80         GREEN80.png           青菜和蘿蔔
GREEN81         GREEN81.png           冰淇淋
GREEN82         GREEN82.png           烤鴨
GREEN83         GREEN83.png           巧克力蛋糕
GREEN84         GREEN84.png           花蜜和花粉
GREEN85         GREEN85.png           零食
GREEN86         GREEN86.png           西瓜和番茄
GREEN87         GREEN87.png           香味
GREEN88         GREEN88.png           好吃的東西
GREEN89         GREEN89.png           先吃再付錢
GREEN90         GREEN90.png           食物夢
GREEN91         GREEN91.png           星星吃月亮
GREEN92         GREEN92.png           找寶藏
GREEN93         GREEN93.png           我喜歡大自然
GREEN94         GREEN94.png           遊太空
GREEN95         GREEN95.png           寶石
GREEN96         GREEN96.png           老樹 The old tree
GREEN97         GREEN97.png           美麗的星星
GREEN98         GREEN98.png           雨天的積水
GREEN99         GREEN99.png           春夏秋冬
GREEN100        GREEN100.png           小種子
